poi_name,latitude,longitude,address,poi_type
Jindou Restaurant,39.899020,116.393858,,restaurant
Yuanwei Northwest Restaurant (Zhonghe Zhongyuan Branch),39.993991,116.366333,,restaurant
Lijiang Banquet (Hongshan Jiayuan Zone K Branch),39.869101,116.451242,,restaurant
Swan Lake Restaurant,39.941829,116.340678,,restaurant
Fengrui Hotel Restaurant,39.946511,116.358863,,restaurant
Rainforest Restaurant,40.649386,117.272924,,restaurant
Mo Jie Restaurant Sichuan-Hunan Cuisine,39.877240,116.701404,,restaurant
Ganluyuan Convenience Restaurant (Ganluyuan Nanli Zone 2 Branch),39.912617,116.516524,,restaurant
Xiao Fanguan Da Chushi,39.916647,116.515442,,restaurant
Dongfa Dao Tea & Ice Hall (Xidan Joy City Branch),39.910702,116.373112,,restaurant
Nancheng Xiang (Meishikou Branch),39.880632,116.271846,,restaurant
Nuoya Restaurant,39.895318,116.397724,,restaurant
Jingshuju Restaurant,39.883071,116.434363,,restaurant
Huanxi Curry Restaurant (Beichen Hui Branch),40.003699,116.387849,,restaurant
Xingfu Linli Restaurant,39.943592,116.520437,,restaurant
Wufu Xiang Manlou,40.101095,116.373587,,restaurant
Qin Renju Restaurant (Daxing Yinghai Branch),39.762809,116.450007,,restaurant
Longhong Restaurant,39.933970,116.388425,,restaurant
Chatang Li Jingwei Restaurant (Gulou Branch),39.940706,116.403993,,restaurant
Airport Restaurant (Terminal 1 Branch),34.443269,108.764500,,restaurant
Xinhe Xiaoguan · 20-Year Old Shop (Beixinqiao Branch),39.943188,116.416580,,restaurant
Huiyuan Restaurant,39.994536,116.406367,,restaurant
Beijing Academy of Social Sciences Restaurant,39.989342,116.385246,,restaurant
Green Tea Restaurant (Beijing Longhu Xingyue Hui Branch),39.998068,116.289861,,restaurant
China Eastern Preferred Restaurant (China Eastern Crew Dormitory Branch),39.526675,116.421725,,restaurant
Gangyuan Restaurant (Baiguang Road No. 6 Courtyard Branch),39.887308,116.360195,,restaurant
Shenzhen Airport Staff Restaurant,22.626255,113.814463,,restaurant
Bo'ai Hospital Nutrition Restaurant (Kangcan Fang),39.848948,116.377127,,restaurant
Yuanhui Shifu (Haoheng Building Branch),40.227267,116.226898,,restaurant
Shatan Restaurant,39.925352,116.403318,,restaurant
Jingfu Restaurant (Dashilan West Street Commercial Branch),39.893896,116.390485,,restaurant
Beijing Oriental Hotel · Weidao 1918 Restaurant,39.888057,116.389629,,restaurant
Xiluoyuan Elderly Restaurant (Xiluoyuan Community 4 Branch),39.863266,116.389969,,restaurant
Hutong Xiaochuan (Puhuangyu Branch),39.869865,116.420121,,restaurant
Pinwei Restaurant,39.896782,116.394354,,restaurant
Green Tea Restaurant (Beijing Intime IN88 Branch),39.916285,116.411819,,restaurant
Ai Zhuanjiao Guochuang Restaurant (Guochuang Industrial Park Branch),40.022516,116.453711,,restaurant
Green Tea Restaurant (Xidan Galeries Lafayette Branch),39.913936,116.375178,,restaurant
Jinliang Restaurant,22.609729,114.031778,,restaurant
Tsinghua University Heyuan Restaurant,40.002773,116.321093,,restaurant
Jiefang Hotel Chinese Restaurant,34.275565,108.963258,,restaurant
Yamei Restaurant (Zhenwumiao Sili Branch),39.903774,116.346399,,restaurant
Shanglin Garden No. 89 Tea Restaurant,39.887645,116.273277,,restaurant
Guofeng Family Restaurant (Bird's Nest View Branch),39.992725,116.395475,,restaurant
Wangxiangyan Courtyard Restaurant · 798 Living Room (Jiuxianqiao · Wangjing Branch),39.980125,116.496768,,restaurant
Qishiwai Restaurant,40.469079,115.810675,,restaurant
Backyard Restaurant (Lianhuachi Xili Branch),39.891640,116.308585,,restaurant
Tangchu (Wudaoying Branch),39.948338,116.414674,,restaurant
Juqi (Qianmen Branch),39.897718,116.397016,,restaurant
Jingcheng Xiaoyuan Hutong Cuisine Terrace Bistro,39.938065,116.379287,,restaurant
Sheng Yongxing Roast Duck Restaurant (Wanhe Building Branch),39.994444,116.367912,,restaurant
Personnel Department Career Building Office Area Restaurant,39.992841,116.427768,,restaurant
Luo Xiaochu Restaurant (Yiling Building Branch),39.893148,116.406727,,restaurant
Ganxiang Courtyard Bamboo Forest Courtyard Restaurant (Guomao Dawanglu Branch),39.900758,116.475998,,restaurant
Yunwei Art Restaurant,39.947648,116.719949,,restaurant
Lanxiangjing Restaurant,39.992459,116.201693,,restaurant
Ganyuan Jiangxi Courtyard Restaurant,39.907675,116.483673,,restaurant
Quanshuiyan Restaurant,40.300809,117.084312,,restaurant
Beilun Restaurant,40.078595,116.229780,,restaurant
Kandan Hong Restaurant,39.843323,116.300269,,restaurant
Baifulou Restaurant,40.238260,116.190910,,restaurant
China Meteorological Administration Community South District Staff Restaurant (Meteorological Bureau Community South District Branch),39.945087,116.328218,,restaurant
Youanmen Subdistrict Dongzhuang Community Elderly Restaurant,39.868996,116.378723,,restaurant
Linjia Inn - Riverside Restaurant,40.648564,117.273002,,restaurant
Pinge Restaurant · Cantonese Cuisine · Jiangxi Cuisine · Hunan Cuisine (Zhongguo Xi Branch),39.858040,116.354519,,restaurant
Xiangjiu Roasted Goose Head (Tuqiao Branch),39.871212,116.696165,,restaurant
Shuangliu Mama Rabbit Head (Shuangjing Branch),39.890496,116.461939,,restaurant
Suzhou Marriott Executive Apartments - Zitan Xuan Restaurant,39.912174,116.525818,,restaurant
Chanzui Mao Skewer Bar · BBQ Bistro (Daxing Airport Branch),39.525582,116.410627,,restaurant
Post Station Restaurant,39.892536,116.262592,,restaurant
Jing · Restaurant PEKING LIANG (Qianmen Branch),39.897387,116.397002,,restaurant
Yuxiangyuan Restaurant (Beiyu Building Branch),39.884955,116.435397,,restaurant
Saizeriya Italian Restaurant (Beitou Xinao Shopping Center Branch),40.001730,116.396090,,restaurant
Penglai Pavilion Chinese Restaurant,39.901513,116.416821,,restaurant
106 Restaurant (Beijing Pan-Asia International Commercial Street Branch),39.939411,116.501213,,restaurant
Jurassic Museum Restaurant,39.867012,116.501120,,restaurant
Beijing Daxing District Integrated Traditional Chinese and Western Medicine Hospital Restaurant,39.771421,116.447855,,restaurant
Pinghe Restaurant Home-style Cooking,39.904489,116.423507,,restaurant
Junle Restaurant,40.116141,116.221840,,restaurant
Jianhua Gourmet Restaurant (Fengyi Business Building Branch),39.856714,116.313297,,restaurant
Yuehu Restaurant,39.892858,116.325366,,restaurant
Yuanyuan (Di'anmen Branch),39.933384,116.384409,,restaurant
Xin Zha Shixiong · New Style Cantonese Cuisine (Chaoyang Joy City Branch),39.924134,116.518604,,restaurant
Xiao Yunnan Restaurant (Nanluoguxiang Branch),39.933624,116.401932,,restaurant
Huishang Xingchen · Restaurant (Haidong No. 1 Residential Community Branch),40.857243,111.764983,,restaurant
Hudemon Style Restaurant (Chezhan West Street West Road Branch),40.827925,111.662475,,restaurant
Shanhetun Iron Pot Stew (Jianguomen Branch),39.906452,116.442370,,restaurant
Xi'an Xianyang International Airport Terminal 2 Airport Staff Restaurant,34.440199,108.760680,,restaurant
Haxi Restaurant,45.708071,126.576427,,restaurant
Kuaijiemei Chinese Gourmet Restaurant,40.153257,116.555294,,restaurant
Qixun Bazhao Hutong Cuisine (Yonghe Temple Branch),39.945578,116.418686,,restaurant
VIP Building Rongshuyuan Restaurant,39.992864,116.406078,,restaurant
Zhonghong Shengyan · Bird's Nest Restaurant (Yayuncun Branch),39.992378,116.395075,,restaurant
Peking University Changchunyuan Restaurant,39.993919,116.303733,,restaurant
Hanglv Home Restaurant,45.628764,126.248463,,restaurant
Fumanyuan (Xinyuan South Road Branch),39.947549,116.451273,,restaurant
Jinyiyuan Music Dining Bar,39.846825,116.376525,,restaurant
Yuxiang Restaurant,40.233338,116.235909,,restaurant
Longxianfu Specialty Restaurant,40.289367,116.236644,,restaurant
Kunning Palace East Courtyard Restaurant,39.921089,116.397327,,restaurant
ZENG Restaurant Theater Branch (Qianmen Branch),39.897474,116.390897,,restaurant
Nanfeng Rui's Restaurant (Yangqiao Xili Community Branch),39.859706,116.379230,,restaurant
Taiyanggong Fuzhong Chinese Restaurant,39.889836,116.402322,,restaurant
Xueju Skiing Theme Restaurant (Yixiang Branch),39.865644,116.419916,,restaurant
Jing B · Dongli Craft Beer Music Restaurant,39.896192,116.394755,,restaurant
Tianlun Songhe Grand Hotel - Buffet Restaurant,39.918132,116.413396,,restaurant
Beiyuan Golf Club Restaurant,40.024975,116.442825,,restaurant
Shaanxi Roujiamo Xiangyue Restaurant (Shenzhen Tong Building Branch),22.608567,114.026255,,restaurant
Tsinghua University Jiasuo Restaurant,40.001088,116.322559,,restaurant
Deshi Building Restaurant,40.045260,116.308040,,restaurant
Inner Mongolia Civil Aviation Airport Group Staff Restaurant,40.856724,111.826663,,restaurant
Wutuli Music Pub (Link Center City Branch),22.536387,114.059591,,restaurant
Yangchen Restaurant,34.275825,108.969375,,restaurant
Shengbaiwei Family Banquet Restaurant (Huoying Branch),40.081335,116.358510,,restaurant
Capital Airport Gangshan Road No. 2 Jia Restaurant,40.052299,116.598435,,restaurant
Yindu Restaurant,39.896276,116.382952,,restaurant
Jinjiang Inn Restaurant,39.898192,116.438538,,restaurant
Dayou Shangpin Community Restaurant (Central Party School Community Business Department),40.014066,116.277948,,restaurant
Beijing Sanli Mingyue Restaurant,39.910039,116.336159,,restaurant
Chui Wah Restaurant (Bao'an Airport Branch 1),22.630102,113.810934,,restaurant
Chahuameizi Yunnan Restaurant (Di'anmen Branch),39.935500,116.396060,,restaurant
Chahuameizi Yunnan Restaurant,39.940723,116.399484,,restaurant
Dingxiangrun,39.947191,116.380111,,restaurant
Jingweijing Restaurant (Changchunli Residential Community Branch),39.893788,116.363135,,restaurant
Menkuang Hutong Century-old Luzhu Main Store,39.896624,116.395911,,restaurant
Tidu (Beijing Fang Branch),39.897546,116.394922,,restaurant
Old Beijing Flavor Restaurant (Beijing West Railway Station Branch),39.893083,116.321938,,restaurant
Huajia Yiyuan (Qinghua West Road Branch),39.999401,116.306592,,restaurant
Liu Ye Menkuang Century-old Luzhu (Dashilan West Street Commercial Branch),39.896964,116.395585,,restaurant
Juqi Roast Duck · Beijing Cuisine (Beijing APM Branch),39.914449,116.411633,,restaurant
Chengdu Sichuan Cuisine Restaurant (Binshui Xincun Branch),40.854646,111.747514,,restaurant
Laodifang Restaurant (Bagong North Road No. 11 Courtyard Branch),39.916955,116.204615,,restaurant
Zhongjian Restaurant (Beijing Happy Valley Branch),39.869084,116.509490,,restaurant
Huayuan Xiaochu · Sichuan Cuisine · Boiled Fish,39.897588,116.353742,,restaurant
106 Restaurant (Shilihe Branch),39.867752,116.462913,,restaurant
Tangyuan Chinese Restaurant (Fuxingmen Branch),39.908020,116.342580,,restaurant
Huashe · Lingnan Yunnan-Guizhou-Sichuan Bistro (Liangma River Branch),39.946761,116.449255,,restaurant
Chui Wah Restaurant,22.630032,113.810970,,restaurant
Bird's Nest Cultural Center Guofeng Family Restaurant,39.992875,116.397025,,restaurant
Zhecha Cha Chaan Teng (Beijing APM Branch),39.914339,116.411941,,restaurant
Chaowei (Beijing Shijingshan District),39.917726,116.205327,,restaurant
Guangying Restaurant (Summer Palace Branch),40.003150,116.277638,,restaurant
70s Red Restaurant (Xiangshan Branch),39.993887,116.205060,,restaurant
Huahuale Jiaodong Seafood · Fisherman's Cuisine · BBQ (Baiziwan Branch),39.899696,116.486353,,restaurant
Wanlongzhou Seafood (Daxing Greenland Binfen City Branch),39.764618,116.334639,,restaurant
Steam Town · Steamed Seafood (Main Store),39.989381,116.476477,,restaurant
Xiaotianfei Seafood Restaurant,39.915396,116.631520,,restaurant
Zhonghua Ma's Restaurant,39.851353,116.309616,,restaurant
Heshun Restaurant,39.708176,116.331427,,restaurant
Halal Xinjiang Cuisine Restaurant (Gulou East Street Branch),39.940633,116.402915,,restaurant
Halal Xilou Wangji Beef Noodles,39.945343,116.419251,,restaurant
Old Ciqikou Douzhi Shop,39.888646,116.412855,,restaurant
Judeyuan Restaurant,39.866051,116.510065,,restaurant
Adaxi Xinjiang Cuisine Restaurant (Baiqiao Branch),39.896053,116.439543,,restaurant
Xunji · Qingnian Road Courtyard · Halal,39.938576,116.516563,,restaurant
Yifeng Restaurant (Gulou Branch),39.943748,116.388507,,restaurant
Xingyanlan Renjia Halal Restaurant (Sanhe Nanli Branch),39.732209,116.326455,,restaurant
Gutong Laoyuan Copper Pot Hot Pot · Halal (Dianmen Branch),39.934360,116.396446,,restaurant
Jingyi Restaurant (Liulichang Culture Street Branch),39.895208,116.389337,,restaurant
Kuxiang · Jiangnan Courtyard Restaurant,39.900777,116.475995,,restaurant
Huixuan Ge Restaurant (Hunan Cuisine),40.071405,116.593500,,restaurant
Xiao Wan Canteen (798 Art Zone Branch),39.986677,116.497942,,restaurant
Xiaoxiang Ge (Sanlitun SOHO Branch),39.933111,116.452867,,restaurant
