restaurant_name,city,price_per_person,cuisine,opening_time,closing_time,nearby_attraction_name,rating,tags
Mingmen Shengyan Art Seafood Presentation (Zhujiang New Town Branch),Guangzhou,464.0,Catering service; Chinese restaurant; Seafood restaurant,18:00,21:30,Guangdong Museum,4.7,Outdoor Seating; Waiting Area Available; Birthday Set Meal Service; Must-Eat List Top 10
Shengji Seafood Restaurant,Guangzhou,459.0,Catering service; Chinese restaurant; Seafood restaurant,11:00,24:00,Pearl River Night Cruise Xidi Pier,4.2,Private rooms available; Online queueing; Outdoor seating; Birthday set meal service
Jin Da Yang Ji Seafood Restaurant (Shangbao Garden Branch),Guangzhou,75.0,Catering service; Chinese restaurant; Seafood restaurant,11:00,24:00,Shenzhen-Zhongshan Bridge,4.0,Must-Eat List Top 10; Private Rooms Available; Outdoor Seating
Chang Dian Xian · Shunde Cuisine · Private Kitchen · Steam Seafood (Guangzhou Main Store),Guangzhou,80.0,Catering service; Chinese restaurant; Seafood restaurant,16:30,22:00,Crazy Maiji (Guangzhou Experience Hall),4.6,Private rooms available; Must-Eat List Top 10; Outdoor seating
Dongjiang Seafood Restaurant (Dongjiang Main Store),Guangzhou,100.0,Catering service; Chinese restaurant; Seafood restaurant,07:30,21:30,Sun Yat-sen University (South Campus),4.2,Private Rooms Available; Online Queue Number; Birthday Set Meal Service
Wait For My Food To Come Seafood Food Stall (Tianhe South Branch),Guangzhou,140.0,Catering service; Chinese restaurant; Seafood restaurant,17:00,01:00,Grandview Penguin Ice and Snow World,4.7,Outdoor seating
Bosi Mediterranean Seafood Restaurant,Guangzhou,149.0,Catering service; Chinese restaurant; Seafood restaurant,12:00,24:00,Haixinsha Asian Games Park - Haixinsha Square,4.4,Private rooms available; Online queueing
Coconut Grove Seafood Pier (Panyu Wanda Branch),Guangzhou,108.0,Catering service; Chinese restaurant; Seafood restaurant,17:00,22:00,Wanbo Center,4.6,Outdoor seating; Birthday set meal service; Private rooms; Online queueing
Kao Shang Gong Korean Buffet (Food City Branch),Guangzhou,49.0,Catering service; Chinese restaurant; Halal restaurant,10:00,21:00,Guangzhou Folklore Museum,3.9,Private Rooms Available; Outdoor Seating; Birthday Set Meal Service; Online Queue Number
Haliman Restaurant,Guangzhou,17.0,Catering service;Chinese restaurant;Halal restaurant,11:30,24:00,Sanyuan Palace,3.8,Birthday set meal service;Outdoor seating;Online Queue Number;Must-Eat List Top 10;Outdoor Seating
Halal · Dawazi Xinjiang Big Plate Chicken · Pilaf · Mixed Noodles · BBQ,Guangzhou,38.0,Catering service; Chinese restaurant; Halal restaurant,16:00,22:00,Wanbo Center,4.4,Online queueing; Private rooms available; Birthday set meal service
Kaiser Xinjiang Restaurant,Guangzhou,86.0,Catering service;Chinese restaurant;Halal restaurant,10:00,23:00,Sun Yat-sen Memorial Hall,3.6,Private Rooms Available;Outdoor Seating;Must-Eat List Top 10;Online Queue Number
Xiangwei Song Restaurant,Guangzhou,28.0,Catering Service; Chinese Restaurant; Hunan Cuisine (Xiang Cuisine),04:30,21:00,Guifeng Village,4.0,Waiting Area Available
Lao Xiang Cun · Hunan Local Cuisine (Haizhu Yanhui Plaza Branch),Guangzhou,100.0,Catering Service; Chinese Restaurant; Hunan Cuisine (Xiang Cuisine),11:00,21:00,Harry Potter (Haizhu Xinduhui Store),4.4,Outdoor seating; Private rooms available
Chao Fu Restaurant (Main Store),Guangzhou,45.0,Catering Services; Chinese Restaurant; Teochew Cuisine,17:00,21:30,Sun Yat-sen University (South Campus),4.6,Private rooms available; Waiting area available; Birthday set meal service; Outdoor seating
Dexin Chaoshan Restaurant,Guangzhou,100.0,Catering Services; Chinese Restaurant; Teochew Cuisine,11:00,21:00,Guangzhou Children's Park,3.9,Must-Eat List Top 10; Waiting area available; Birthday set meal service
Coconut Enjoy Time · Refined Coconut Chicken (COCOpark Branch),Guangzhou,71.0,Catering Services; Chinese Restaurant; Hot Pot Restaurant,10:30,22:00,Boat Tour to Explore Hidden Secrets,4.3,Must-Eat List Top 10; Online queueing; Outdoor seating
Thai Fresh Small Hot Pot,Guangzhou,68.0,Catering Services; Chinese Restaurant; Hot Pot Restaurant,08:00,02:00,Pearl River Night Cruise,4.4,Waiting Area Available; Birthday Set Meal Service; Private Rooms Available; Online Queue Number
Coconut Enjoy Time · Refined Coconut Chicken (Tianhe New World Branch),Guangzhou,86.0,Catering Services; Chinese Restaurant; Hot Pot Restaurant,10:00,22:00,Tianhe Road Commercial District,4.1,Waiting area available; Birthday set meal service
Nanhai Fishing Village · Ersha No.1,Guangzhou,174.0,Catering Services; Chinese Restaurant; Specialty/Local Flavor Restaurant,17:30,22:00,Pearl River Night Cruise Canton Tower · Zhongda Pier,4.6,Must-Eat List Top 10; Birthday Set Meal Service; Waiting Area Available; Online Queue Number
Ji Mu BBQ Music Restaurant (Yanjiang Road Branch),Guangzhou,103.0,Catering Services; Chinese Restaurant; Specialty/Local Flavor Restaurant,18:00,02:30,Pearl River Night Cruise,4.6,Waiting Area Available; Online Queueing; Outdoor Seating; Birthday Set Meal Service
Xiangwei Restaurant (Xianghe Street Branch),Guangzhou,100.0,Catering Services; Chinese Restaurant; Specialty/Local Flavor Restaurant,09:00,21:00,Xiaopingyuan Leisure Science and Education Farm,3.5,Must-Eat List Top 10; Waiting Area Available
Qinfei Grilled Fish King,Guangzhou,100.0,Catering Services; Chinese Restaurant; Specialty/Local Flavor Restaurant,10:00,02:00,Renwei Ancestral Temple,3.7,Must-Eat List Top 10; Waiting area available; Outdoor seating
Shangpin Seafood Restaurant,Guangzhou,78.0,Catering Services; Chinese Restaurant; Comprehensive Restaurant,17:00,22:30,Guangzhou Jidong Park,4.5,Outdoor seating; Private rooms available
Peninsula Yuzhenxuan Restaurant,Guangzhou,100.0,Catering Services; Chinese Restaurant; Comprehensive Restaurant,17:00,22:00,Pearl River Night Cruise Canton Tower · Zhongda Pier,4.6,Must-Eat List Top 10; Outdoor seating; Online queueing
Tao Tao Ju (Grandview Branch),Guangzhou,92.0,Catering Services; Chinese Restaurant; Comprehensive Restaurant,10:00,21:30,Grandview Mall,4.7,Online Queueing; Must-Eat List Top 10; Private Rooms Available; Waiting Area Available; Birthday Set Meal Service
Panxi Restaurant,Guangzhou,81.0,Catering Services; Chinese Restaurant; Comprehensive Restaurant|Catering Services; Bakery; Bakery,17:00,21:00,Guangzhou Railway Museum,4.5,Must-Eat List Top 10; Waiting Area Available; Online Queueing; Outdoor Seating; Birthday Set Meal Service; Private Rooms Available
Taiheng Ice Room (South Station Xijie Branch),Guangzhou,39.0,Catering Services; Cold Drink Shop; Cold Drink Shop,11:00,21:00,Crazy Maiji (Guangzhou Experience Hall),4.6,Must-Eat List Top 10; Birthday Set Meal Service; Private Rooms Available; Waiting Area Available; Online Queueing
Keming Ice Room (Huanyu City Branch),Guangzhou,47.0,Catering Services; Cold Drink Shop; Cold Drink Shop,11:00,21:00,Shenzhen-Zhongshan Bridge,4.4,Online queueing; Must-Eat List Top 10; Private rooms available
Wangye Ice Room (Junyi Hui Branch),Guangzhou,51.0,Catering Services; Cold Drink Shop; Cold Drink Shop,10:30,22:30,"Sacred Heart Cathedral, Guangzhou",4.2,Must-Eat List Top 10; Outdoor Seating; Online Queueing; Birthday Set Meal Service
Man Wah Cafe (Teemall Branch),Guangzhou,62.0,Catering Services; Cold Drink Shop; Cold Drink Shop,10:00,21:30,Metaverse Experience Hall (Guangzhou Branch),4.2,Outdoor Seating; Private Rooms Available; Waiting Area Available
Happy Ice Room (Guangzhou Tianhe Link Plaza Branch),Guangzhou,51.0,Catering Services; Cold Drink Shop; Cold Drink Shop,10:00,22:00,Zhujiang New Town,4.3,Must-Eat List Top 10; Waiting Area Available; Online Queueing; Birthday Set Meal Service
Wentong Ice Room (Grandview Mall Branch),Guangzhou,45.0,Catering Services; Cold Drink Shop; Cold Drink Shop,10:30,21:30,Grandview Mall,4.6,Must-Eat List Top 10; Online Queueing; Birthday Set Meal Service; Waiting Area Available; Private Rooms Available
Keming Ice Room (Panyu Minjie Plaza Branch),Guangzhou,49.0,Catering Services; Cold Drink Shop; Cold Drink Shop,11:00,21:00,Central Performing Arts Plaza,4.6,Outdoor Seating; Waiting Area Available; Must-Eat List Top 10
Xixi Restaurant (Donghu Branch),Guangzhou,51.0,Catering Services; Cold Drink Shop; Cold Drink Shop,10:00,22:00,Pearl River Night Cruise,4.6,Waiting Area Available; Online Queue Number; Private Rooms Available
Lihua Ice Room,Guangzhou,100.0,Catering Services; Cold Drink Shop; Cold Drink Shop,09:00,21:00,Huaguoshan Park,4.1,Online queueing
Man Wah Cafe (Guangzhou Dongfang Baotai Branch),Guangzhou,58.0,Catering Services; Cold Drink Shop; Cold Drink Shop|Catering Services; Fast Food Restaurant; Fast Food Restaurant,08:00,22:00,Guangzhou Sports Culture Museum,4.5,Waiting Area Available; Online Queue Number; Private Rooms Available
Cat's Up · Cat Theme Restaurant,Guangzhou,29.0,Catering Services; Coffee Shop; Coffee Shop,11:00,20:00,Tianhe Road Commercial District,4.4,Outdoor seating
Bulai Bligh8· COFFEE&BRUNCH (Qianshan Branch),Guangzhou,100.0,Catering Services; Coffee Shop; Coffee Shop,11:30,20:30,Shenzhen-Zhongshan Bridge,4.7,Private Rooms Available; Birthday Set Meal Service
Katyusha Russian Western Restaurant (Guangzhou Branch),Guangzhou,110.0,Catering Services; Foreign Restaurant; Russian Cuisine,17:00,22:00,Aoka HOKA Light and Shadow Theater,4.3,Outdoor seating; Online queueing
Thai Fragrant Rice Thai Restaurant (Teemall Branch),Guangzhou,117.0,Dining Services; Foreign Restaurants; Other Asian Cuisine,08:30,18:00,Metaverse Experience Hall (Guangzhou Branch),4.4,Outdoor Seating; Private Rooms Available; Birthday Set Meals; Waiting Area; Online Queueing
Sunny Grounds Western Kitchen,Guangzhou,78.0,Catering Services; Foreign Restaurant; Foreign Restaurant,11:00,22:00,Grandview Penguin Ice and Snow World,4.1,Waiting area available; Birthday set meal service
Saizeriya Italian Restaurant (Tianhe Xintiandi Branch),Guangzhou,39.0,Catering Services; Foreign Restaurant; Foreign Restaurant,10:00,22:00,Tianhe Road Commercial District,4.7,Birthday set meal service
Saizeriya Italian Restaurant (237 Health Port Cocopark Branch),Guangzhou,42.0,Catering Services; Foreign Restaurant; Foreign Restaurant,10:00,22:00,Boat Tour to Explore Hidden Secrets,4.5,Private rooms available; Online queueing
Green Island Western Restaurant · Birthday Theme · Lawn Terrace Restaurant,Guangzhou,70.0,Catering Services;Foreign Restaurant,11:00,10:00,Guangzhou Ancient City Wall,4.6,Outdoor seating;Waiting area available;Birthday set meal service;Private rooms;Must-Eat List Top 10;Online queueing
Saizeriya Italian Restaurant (Guangzhou Baiyun Railway Station Branch),Guangzhou,31.0,Catering Services; Foreign Restaurant; Foreign Restaurant,10:00,22:00,Guangzhou Children's Park,4.4,Must-Eat List Top 10; Waiting Area Available; Outdoor Seating; Private Rooms Available
Mr. Steak · Thick-Cut Snowflake Steak Western Restaurant (Grandview Mall Branch),Guangzhou,73.0,Catering Services; Foreign Restaurant; Foreign Restaurant,10:30,22:00,Grandview Mall,4.6,Outdoor Seating; Must-Eat List Top 10; Online Queueing; Birthday Set Meals
Yoting American BBQ Restaurant,Guangzhou,70.0,Catering Services; Foreign Restaurant; Foreign Restaurant,11:00,01:00,Central Performing Arts Plaza,4.7,Private rooms available; Online queueing; Must-Eat List Top 10
Saizeriya Italian Restaurant (Laimenli Kou'ancheng Branch),Guangzhou,47.0,Catering Services; Foreign Restaurant; Foreign Restaurant,10:00,22:00,Shenzhen-Zhongshan Bridge,4.6,Birthday set meal service; Outdoor seating
Thai Suo Southeast Asian Flavor Restaurant (Tangming Plaza Branch),Guangzhou,57.0,Catering Services;Foreign Restaurant,11:00,01:00,Renwei Ancestral Temple,4.6,Birthday Set Meals;Online Queueing;Outdoor Seating;Waiting Area;Must-Eat List Top 10;Birthday set meal service;Online queueing;Outdoor seating;Waiting area available
MansionC Restaurant,Guangzhou,150.0,Catering Services;Foreign Restaurant,11:00,21:00,Former Site of the All-China Federation of Trade Unions,3.9,Private Rooms Available;Waiting Area;Online Queueing;Outdoor Seating
Green Island Western Restaurant · Birthday Theme Restaurant (Xindaxin Department Store Branch),Guangzhou,94.0,Catering Services; Foreign Restaurant; Foreign Restaurant,11:00,21:00,Huaisheng Mosque,4.2,Waiting Area; Outdoor Seating; Private Rooms Available; Must-Eat List Top 10
OST Restaurant (Guangzhou Chow Tai Fook Finance Center Branch),Guangzhou,152.0,Catering Services; Foreign Restaurant; Foreign Restaurant,11:30,21:30,Guangdong Museum,4.4,Birthday Set Meals; Online Queueing; Private Rooms Available; Must-Eat List Top 10
Bosphorus Turkish Restaurant,Guangzhou,100.0,Catering Services; Foreign Restaurant; Foreign Restaurant,11:00,24:00,Haixinsha Asian Games Park - Haixinsha Square,4.3,Online queueing; Private rooms available
iFUNANYA FOOD (Yifunaya Restaurant),Guangzhou,100.0,Catering Services; Foreign Restaurant; Foreign Restaurant,11:00,21:00,Neobio Family Center (Yuehui City Branch),3.6,Online Queueing; Outdoor Seating; Waiting Area; Birthday Set Meals; Private Rooms Available
Saizeriya Italian Restaurant (299 Baiyun Station Yuessheng Plaza Zone A Branch),Guangzhou,100.0,Catering Services; Foreign Restaurant; Foreign Restaurant,11:00,21:00,Guangzhou Children's Park,4.1,Outdoor seating
Gulique Russian Western Restaurant,Guangzhou,100.0,Catering Services; Foreign Restaurant; Foreign Restaurant,11:00,21:00,Grandview Mall,4.3,Outdoor Seating; Must-Eat List Top 10; Private Rooms Available; Waiting Area
Latin Restaurant (Grandview Mall Branch),Guangzhou,104.0,Dining Services; Foreign Restaurants; Brazilian Cuisine,17:00,22:00,Grandview Mall,4.4,Outdoor Seating; Online Queueing; Private Rooms Available; Waiting Area
haxnbauer German Restaurant (Guangzhou Xinghuan Branch),Guangzhou,139.0,Dining Services; Foreign Restaurants; German Cuisine,10:00,22:00,Aiqun Building,4.4,Waiting area available; Private rooms
Yixuan Italian Restaurant (Zhujiang New Town Branch),Guangzhou,350.0,Catering Services; Foreign Restaurant; Italian Cuisine Restaurant,11:00,21:00,Guangdong Museum,4.0,Must-Eat List Top 10; Waiting Area; Birthday Set Meals; Online Queueing; Private Rooms Available
Gangbai Cafe,Guangzhou,55.0,Catering Services; Dining Venues; Dining Related,11:00,21:00,Chen Clan Ancestral Hall,4.4,Waiting Area Available; Must-Eat List Top 10; Birthday Set Meal Service
Keming Cafe (Guangzhou Chengyihui · Liuhua Branch),Guangzhou,48.0,Cold Drink Shop,11:00,21:00,Yuexiu Park,4.2,Private rooms available; Online queueing; Outdoor seating; Waiting area available
Huachengli · Moshang Huakai,Guangzhou,79.0,Western Restaurant (Mixed Cuisine),11:00,20:30,Yuexiu Park,4.5,Outdoor seating; Private rooms available; Online queueing
Peacock Tower Restaurant,Guangzhou,100.0,Chinese Restaurant,17:00,22:00,Museum of the Nanyue Kings (Royal Tomb Exhibition Area),4.1,Birthday set meal service; Private rooms available
Meat Times Restaurant,Guangzhou,117.0,Catering Services; Dining Venues; Dining Related,10:00,24:00,Yuexiu Park,4.1,Must-Eat List Top 10; Birthday set meal service; Waiting area available
Kowloon Ice Room (Guangzhou Yingxiong Square Branch),Guangzhou,41.0,Catering Services; Dining Venues; Dining Related,10:30,21:00,Dongshankou Arts District,4.6,Waiting Area Available; Online Queueing; Outdoor Seating; Birthday Set Meal Service
RICK BELLA Restaurant (Yuzhu Gangbei District Branch),Guangzhou,134.0,Italian Cuisine Restaurant,11:00,24:00,Whampoa Military Academy Memorial Hall,4.6,Must-Eat List Top 10; Private rooms available; Outdoor seating; Birthday set meal service
Huayi Tea Restaurant,Guangzhou,49.0,Catering Services; Dining Venues; Dining Related,11:00,21:00,Whampoa Military Academy Memorial Hall,3.9,Outdoor seating; Birthday set meal service; Private rooms available
Songji Restaurant,Guangzhou,100.0,Chinese Restaurant,11:00,21:00,Whampoa Military Academy Memorial Hall,4.0,Outdoor seating; Online queueing; Waiting area available
You Le (Tianhe Youyicheng Branch),Guangzhou,98.0,Chinese Restaurant,10:00,22:00,Teemall,4.3,Private Rooms Available; Birthday Set Meal Service; Must-Eat List Top 10; Outdoor Seating
Sheraton Grand Guangzhou · Feast Buffet Restaurant,Guangzhou,200.0,Western Restaurant (Mixed Cuisine),12:00,02:30,Teemall,4.3,Must-Eat List Top 10; Private Rooms Available; Outdoor Seating
